,title,description,published date,url,publisher,score
42,"Pro-Palestine, pro-Israel protests to take place in Oklahoma Memorial Union - The Oklahoma Daily","Pro-Palestine, pro-Israel protests to take place in Oklahoma Memorial Union  The Oklahoma Daily","Fri, 08 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMimQFodHRwczovL3d3dy5vdWRhaWx5LmNvbS9uZXdzL3Byby1wYWxlc3RpbmUtcHJvLWlzcmFlbC1wcm90ZXN0cy10by10YWtlLXBsYWNlLWluLW9rbGFob21hLW1lbW9yaWFsLXVuaW9uL2FydGljbGVfYzIyN2Y4OTYtZGM5MS0xMWVlLWJkM2UtYWI4NGM4MjgyYWY5Lmh0bWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.oudaily.com', 'title': 'The Oklahoma Daily'}",3
43,Cancellation of Gaza relief event draws protests at Montclair State - NorthJersey.com,Cancellation of Gaza relief event draws protests at Montclair State  NorthJersey.com,"Fri, 08 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMihAFodHRwczovL3d3dy5ub3J0aGplcnNleS5jb20vc3RvcnkvbmV3cy8yMDI0LzAzLzA4L2NhbmNlbGxhdGlvbi1vZi1nYXphLXJlbGllZi1ldmVudC10by1kcmF3LXByb3Rlc3RzLWF0LW1vbnRjbGFpci1zdGF0ZS83Mjg5ODU5NjAwNy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.northjersey.com', 'title': 'NorthJersey.com'}",3
45,Thousands demand Gaza war end in UCSD protest for Palestine - The San Diego Union-Tribune,Thousands demand Gaza war end in UCSD protest for Palestine  The San Diego Union-Tribune,"Wed, 06 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMiuAFodHRwczovL3d3dy5zYW5kaWVnb3VuaW9udHJpYnVuZS5jb20vbmV3cy9lZHVjYXRpb24vc3RvcnkvMjAyNC0wMy0wNi90aG91c2FuZHMtb2YtcHJvLXBhbGVzdGluaWFuLWRlbW9uc3RyYXRvcnMtZGVtYW5kLWVuZC10by13YXItaW4tZ2F6YS1pbi1vbmUtb2YtdGhlLWxhcmdlc3QtcHJvdGVzdHMtaW4tdWNzZC1oaXN0b3J50gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.sandiegouniontribune.com', 'title': 'The San Diego Union-Tribune'}",3
47,UC Berkeley students and faculty reject university condemnation of protest of anti-Palestinian speaker - Mondoweiss,UC Berkeley students and faculty reject university condemnation of protest of anti-Palestinian speaker  Mondoweiss,"Sun, 10 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMiigFodHRwczovL21vbmRvd2Vpc3MubmV0LzIwMjQvMDMvdWMtYmVya2VsZXktc3R1ZGVudHMtYW5kLWZhY3VsdHktcmVzcG9uZC10by11bml2ZXJzaXR5LWNvbmRlbW5hdGlvbi1vZi1wcm90ZXN0LW9mLWFudGktcGFsZXN0aW5pYW4tc3BlYWtlci_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://mondoweiss.net', 'title': 'Mondoweiss'}",3
55,Rep. Josh Gottheimer Goes to War Against High Schoolers Protesting for Gaza - The Intercept,Rep. Josh Gottheimer Goes to War Against High Schoolers Protesting for Gaza  The Intercept,"Wed, 06 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vdGhlaW50ZXJjZXB0LmNvbS8yMDI0LzAzLzA2L25qLWpvc2gtZ290dGhlaW1lci1oaWdoLXNjaG9vbC1wcm90ZXN0LWdhemEtaXNyYWVsL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://theintercept.com', 'title': 'The Intercept'}",3
56,UB protest demands divestment from companies 'complicit in human rights abuse in Palestine' - University at Buffalo The Spectrum,UB protest demands divestment from companies 'complicit in human rights abuse in Palestine'  University at Buffalo The Spectrum,"Wed, 06 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LnVic3BlY3RydW0uY29tL2FydGljbGUvMjAyNC8wMy91bml2ZXJzaXR5LWF0LWJ1ZmZhbG8tZGl2ZXN0bWVudC1wcm90ZXN0LXBhbGVzdGluZS1jb21wbGljaXTSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.ubspectrum.com', 'title': 'University at Buffalo The Spectrum'}",3
57,"Large Pro-Palestinian Protest at UCSD Mostly Peaceful, But One Incident of Violence Reported - Times of San Diego","Large Pro-Palestinian Protest at UCSD Mostly Peaceful, But One Incident of Violence Reported  Times of San Diego","Thu, 07 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMijQFodHRwczovL3RpbWVzb2ZzYW5kaWVnby5jb20vZWR1Y2F0aW9uLzIwMjQvMDMvMDcvbGFyZ2UtcHJvLXBhbGVzdGluaWFuLXByb3Rlc3QtYXQtdWNzZC1tb3N0bHktcGVhY2VmdWwtYnV0LW9uZS1pbmNpZGVudC1vZi12aW9sZW5jZS1yZXBvcnRlZC_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://timesofsandiego.com', 'title': 'Times of San Diego'}",3
68,Pro-Palestinian students protest Warnock during church sermon | Politics News - The Christian Post,Pro-Palestinian students protest Warnock during church sermon | Politics News  The Christian Post,"Mon, 04 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LmNocmlzdGlhbnBvc3QuY29tL25ld3MvcHJvLXBhbGVzdGluaWFuLXN0dWRlbnRzLXByb3Rlc3Qtd2Fybm9jay1kdXJpbmctY2h1cmNoLXNlcm1vbi5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.christianpost.com', 'title': 'The Christian Post'}",3
72,Cambridge students organise protest against Trinity College's ties to Israel - The Tab,Cambridge students organise protest against Trinity College's ties to Israel  The Tab,"Wed, 06 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMifWh0dHBzOi8vdGhldGFiLmNvbS91ay9jYW1icmlkZ2UvMjAyNC8wMy8wNi9jYW1icmlkZ2Utc3R1ZGVudHMtb3JnYW5pc2UtcHJvdGVzdC1hZ2FpbnN0LXRyaW5pdHktY29sbGVnZXMtdGllcy10by1pc3JhZWwtMTc1NDg40gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://thetab.com', 'title': 'The Tab'}",3
76,Exclusive: Bristol students camp overnight in Victoria Rooms in pro-Palestine protest - The Tab,Exclusive: Bristol students camp overnight in Victoria Rooms in pro-Palestine protest  The Tab,"Sat, 09 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMif2h0dHBzOi8vdGhldGFiLmNvbS91ay9icmlzdG9sLzIwMjQvMDMvMDkvZXhjbHVzaXZlLXN0dWRlbnRzLWNhbXAtb3Zlcm5pZ2h0LWluLXRoZS12aWN0b3JpYS1yb29tcy1pbi1wcm8tcGFsZXN0aW5lLXByb3Rlc3QtNTk3MjnSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://thetab.com', 'title': 'The Tab'}",3
